OID,ID,NID,WEIGHT
708,135,30,1
709,135,47,1
710,135,68,1
711,135,82,1
712,135,107,1
713,135,131,1
714,135,164,1
715,136,25,1
716,136,36,1
717,136,41,1
718,136,55,1
719,136,65,1
720,136,102,1
721,137,60,1
722,137,73,1
723,137,85,1
724,137,160,1
725,137,162,1
726,138,16,1
727,138,20,1
728,138,48,1
729,138,75,1
730,138,80,1
731,138,121,1
732,138,122,1
733,139,1,1
734,139,18,1
735,139,31,1
736,139,62,1
737,139,64,1
738,139,76,1
739,140,93,1
740,140,118,1
741,140,119,1
742,141,66,1
743,141,74,1
744,141,115,1
745,141,120,1
746,141,127,1
747,141,151,1
748,142,44,1
749,142,63,1
750,142,81,1
751,142,111,1
752,142,143,1
753,143,21,1
754,143,44,1
755,143,80,1
756,143,111,1
757,143,142,1
758,143,159,1
759,144,55,1
760,144,102,1
761,144,109,1
762,144,132,1
763,145,62,1
764,145,64,1
765,145,71,1
766,145,167,1
767,146,15,1
768,146,28,1
769,146,56,1
770,146,57,1
771,146,100,1
772,146,130,1
773,147,29,1
774,147,50,1
775,147,59,1
776,147,78,1
777,147,86,1
778,147,134,1
779,147,152,1
780,147,157,1
781,148,15,1
782,148,43,1
783,148,57,1
784,148,70,1
785,148,152,1
